Age_Group,Income_Level,Nationality,Luxury_Interest,Shopping_Frequency,Preferred_Category,Color_Preference,Digital_Engagement,Influenced_By_AI,Max_Spend,Will_Buy
36-45,Low,Expat - Western,Medium,Frequent,Fashion,Black,Medium,Yes,32000,No
46+,Medium,Emirati,Low,Frequent,Fashion,Gold,Medium,Yes,30805,Yes
18-25,High,Other,Medium,Frequent,Automobiles,Gold,Medium,No,3599,No
36-45,High,Expat - Western,High,Frequent,Jewelry,White,Medium,No,23100,No
36-45,High,Expat - Indian,High,Rare,Automobiles,White,High,Yes,31509,Yes
46+,Medium,Expat - Western,Low,Rare,Watches,White,Low,Yes,36003,Yes
18-25,Medium,Expat - Western,High,Occasional,Real Estate,Bold Colors,Low,Yes,20183,No
18-25,High,Expat - Indian,Medium,Rare,Jewelry,Bold Colors,High,Yes,39241,No
36-45,Low,Expat - Arab,Medium,Occasional,Watches,Black,High,No,1018,No
26-35,Medium,Expat - Arab,High,Rare,Automobiles,White,Medium,No,1858,No
36-45,Low,Emirati,High,Frequent,Real Estate,Silver,High,Yes,26992,Yes
36-45,Ultra High,Emirati,High,Frequent,Watches,White,Low,No,33580,No
36-45,Ultra High,Expat - Arab,Medium,Rare,Real Estate,Bold Colors,High,No,6380,No
36-45,Low,Other,High,Rare,Watches,White,High,No,36800,No
46+,High,Expat - Western,Low,Occasional,Automobiles,Bold Colors,Medium,Yes,19915,No
18-25,Ultra High,Other,High,Occasional,Real Estate,White,Medium,Yes,41239,Yes
46+,Low,Expat - Western,High,Occasional,Watches,Silver,Medium,No,38487,No
46+,Medium,Expat - Arab,Medium,Frequent,Automobiles,Black,Medium,Yes,13943,No
46+,Ultra High,Emirati,Medium,Frequent,Jewelry,Silver,Low,No,38631,No
36-45,Low,Emirati,High,Frequent,Automobiles,Bold Colors,High,No,37806,Yes
26-35,Medium,Other,Low,Frequent,Automobiles,Gold,High,No,19836,No
18-25,Low,Emirati,Low,Occasional,Jewelry,Silver,Medium,Yes,36614,No
26-35,Ultra High,Expat - Arab,High,Frequent,Automobiles,White,Low,No,41832,No
46+,Ultra High,Other,Medium,Frequent,Jewelry,Black,Low,Yes,12394,No
46+,Ultra High,Expat - Western,High,Frequent,Jewelry,White,High,No,7622,No
26-35,Medium,Emirati,Medium,Frequent,Jewelry,White,Medium,Yes,46063,No
26-35,High,Expat - Indian,Low,Rare,Watches,Silver,High,Yes,26280,No
26-35,High,Emirati,High,Occasional,Real Estate,Black,High,No,12782,No
46+,Medium,Expat - Western,Medium,Occasional,Watches,Gold,Low,Yes,2159,No
46+,High,Other,Low,Frequent,Jewelry,White,Low,Yes,5626,No
18-25,Low,Expat - Western,High,Rare,Real Estate,Black,High,No,24440,No
18-25,Medium,Expat - Indian,Medium,Occasional,Real Estate,Gold,Medium,Yes,37490,No
46+,Low,Expat - Arab,Medium,Occasional,Jewelry,White,Medium,No,12630,No
26-35,Low,Emirati,Medium,Frequent,Real Estate,Black,High,Yes,45042,No
26-35,Low,Other,High,Frequent,Real Estate,Silver,High,No,48656,No
18-25,Medium,Expat - Arab,High,Occasional,Watches,White,Medium,No,7589,No
46+,Medium,Expat - Western,High,Occasional,Real Estate,White,Medium,Yes,49241,Yes
18-25,High,Other,Low,Rare,Jewelry,Black,Medium,Yes,24233,No
18-25,Low,Expat - Arab,High,Occasional,Fashion,White,High,Yes,36011,No
36-45,Medium,Other,Medium,Occasional,Fashion,Gold,Low,Yes,9177,No
36-45,Medium,Expat - Indian,Medium,Frequent,Fashion,White,Medium,Yes,35528,No
36-45,High,Expat - Indian,Medium,Occasional,Jewelry,Bold Colors,Medium,No,49970,No
26-35,Medium,Emirati,High,Frequent,Fashion,Gold,Medium,Yes,39210,No
46+,Medium,Emirati,High,Occasional,Watches,Black,High,Yes,27372,No
46+,High,Expat - Indian,Low,Occasional,Jewelry,Gold,Low,No,24508,No
46+,Medium,Other,Medium,Occasional,Jewelry,Bold Colors,Low,Yes,15965,No
46+,Low,Expat - Indian,High,Rare,Jewelry,Bold Colors,Medium,Yes,4236,No
36-45,Low,Emirati,Low,Frequent,Real Estate,White,High,Yes,16611,No
26-35,High,Expat - Indian,High,Rare,Real Estate,White,Low,Yes,23282,Yes
26-35,Low,Expat - Indian,Medium,Occasional,Real Estate,Silver,High,No,42003,No
36-45,High,Other,Medium,Rare,Automobiles,Gold,Low,No,16829,No
26-35,Medium,Expat - Arab,Medium,Frequent,Watches,Silver,Medium,Yes,9680,No
36-45,Ultra High,Emirati,Medium,Occasional,Jewelry,Bold Colors,High,Yes,12340,No
46+,High,Other,High,Rare,Jewelry,White,Medium,Yes,32093,Yes
36-45,Ultra High,Expat - Indian,Medium,Rare,Real Estate,White,Low,Yes,22107,No
46+,Medium,Expat - Indian,High,Frequent,Jewelry,White,Low,No,10148,No
46+,High,Expat - Arab,Medium,Rare,Jewelry,Black,Medium,Yes,44074,No
18-25,Medium,Emirati,Low,Frequent,Fashion,Bold Colors,Low,Yes,18499,No
36-45,Medium,Emirati,Low,Occasional,Jewelry,White,Medium,Yes,19165,No
18-25,Medium,Expat - Western,Medium,Occasional,Automobiles,Bold Colors,Medium,No,44786,No
36-45,High,Emirati,High,Rare,Real Estate,White,Medium,No,26226,No
36-45,Ultra High,Expat - Arab,Medium,Occasional,Watches,Gold,Low,No,19260,No
18-25,High,Expat - Western,Medium,Occasional,Watches,Bold Colors,High,No,25916,No
18-25,Medium,Expat - Western,Medium,Rare,Fashion,Silver,Medium,Yes,44910,No
36-45,Medium,Expat - Indian,Medium,Occasional,Watches,Black,High,Yes,31480,No
26-35,High,Expat - Indian,Medium,Rare,Watches,Silver,Low,Yes,33191,No
46+,Low,Emirati,High,Frequent,Real Estate,Bold Colors,Low,No,10546,Yes
18-25,Low,Expat - Western,Medium,Frequent,Real Estate,White,High,No,37044,No
46+,Medium,Expat - Indian,Medium,Frequent,Automobiles,Bold Colors,Medium,Yes,22921,No
26-35,Low,Expat - Arab,Low,Rare,Fashion,Black,Low,No,49776,No
26-35,Low,Expat - Indian,High,Rare,Watches,Bold Colors,Medium,No,37940,No
26-35,Low,Expat - Indian,Medium,Occasional,Automobiles,White,Medium,No,46951,No
18-25,Low,Expat - Western,Low,Occasional,Fashion,Silver,High,Yes,13836,No
26-35,Low,Expat - Western,Medium,Occasional,Watches,Gold,Low,No,9989,No
18-25,Ultra High,Other,Medium,Occasional,Watches,Silver,High,Yes,14740,No
26-35,Medium,Expat - Arab,Medium,Occasional,Real Estate,White,Low,No,31180,No
46+,Medium,Expat - Western,Medium,Rare,Jewelry,White,High,No,14102,No
46+,Medium,Emirati,High,Rare,Fashion,Black,Low,Yes,16357,No
36-45,Low,Expat - Arab,Low,Frequent,Watches,Bold Colors,Low,No,49381,Yes
46+,Ultra High,Expat - Arab,High,Frequent,Fashion,Bold Colors,Low,No,31255,No
36-45,High,Expat - Western,Medium,Frequent,Automobiles,Silver,Medium,Yes,37094,No
46+,Low,Expat - Arab,Medium,Frequent,Automobiles,Gold,Medium,Yes,26221,No
18-25,Medium,Expat - Western,Medium,Rare,Jewelry,Gold,High,Yes,1719,Yes
46+,High,Expat - Indian,Medium,Rare,Watches,Black,High,No,18906,Yes
36-45,Ultra High,Other,High,Rare,Real Estate,White,Low,No,24140,No
36-45,Medium,Expat - Indian,Medium,Occasional,Watches,Black,Low,Yes,2069,No
26-35,Medium,Expat - Western,Medium,Occasional,Fashion,Bold Colors,Medium,Yes,8749,No
18-25,Low,Expat - Western,Medium,Frequent,Automobiles,White,Medium,Yes,13935,No
46+,Ultra High,Expat - Indian,High,Occasional,Fashion,Black,Medium,Yes,38655,Yes
26-35,Low,Emirati,Medium,Rare,Jewelry,Silver,High,Yes,45035,No
46+,Ultra High,Emirati,High,Frequent,Automobiles,Bold Colors,Medium,Yes,31720,Yes
46+,Medium,Emirati,Medium,Frequent,Real Estate,Gold,High,Yes,28937,Yes
26-35,Medium,Expat - Western,Low,Occasional,Automobiles,Black,Medium,Yes,19540,No
26-35,Medium,Expat - Arab,Medium,Frequent,Watches,Bold Colors,Medium,No,8944,No
26-35,Low,Expat - Western,Medium,Occasional,Watches,Bold Colors,Low,No,49702,No
26-35,Low,Expat - Arab,Medium,Occasional,Automobiles,Gold,High,No,13747,No
26-35,Low,Expat - Indian,Low,Frequent,Jewelry,Gold,Medium,No,11505,No
46+,Low,Other,High,Occasional,Watches,Gold,Low,Yes,47217,No
26-35,High,Expat - Arab,High,Occasional,Watches,Black,High,Yes,12697,No
18-25,Medium,Emirati,High,Occasional,Real Estate,Gold,High,Yes,37907,No
36-45,Low,Expat - Western,Low,Occasional,Automobiles,Silver,Medium,No,16221,No
26-35,Ultra High,Expat - Indian,Low,Frequent,Watches,Bold Colors,High,No,8087,No
26-35,High,Emirati,Low,Rare,Jewelry,Gold,Low,No,22462,No
46+,Ultra High,Expat - Indian,High,Rare,Fashion,Bold Colors,Low,No,23789,No
26-35,Ultra High,Other,High,Occasional,Automobiles,White,High,No,34400,No
26-35,Low,Expat - Western,Medium,Occasional,Real Estate,White,Low,Yes,3199,No
26-35,Medium,Expat - Western,Low,Occasional,Watches,Gold,High,Yes,48316,No
46+,High,Other,Medium,Rare,Jewelry,Bold Colors,Low,Yes,45023,No
26-35,Medium,Expat - Western,Medium,Occasional,Automobiles,White,High,Yes,22737,No
36-45,Low,Expat - Arab,Medium,Frequent,Jewelry,Gold,High,No,7073,No
46+,High,Expat - Indian,Medium,Frequent,Jewelry,Bold Colors,High,Yes,17744,No
36-45,Low,Emirati,High,Frequent,Real Estate,Gold,Low,Yes,11559,No
46+,Low,Other,Low,Rare,Automobiles,Bold Colors,High,Yes,33695,No
26-35,Medium,Expat - Arab,Low,Occasional,Watches,White,High,Yes,49865,No
36-45,Medium,Emirati,High,Occasional,Real Estate,Gold,Medium,Yes,9401,No
46+,Medium,Emirati,Medium,Occasional,Watches,White,Medium,Yes,12659,No
18-25,Low,Other,Low,Rare,Fashion,Gold,High,Yes,42890,No
26-35,High,Expat - Arab,Low,Rare,Jewelry,Black,Medium,No,14894,No
46+,Low,Emirati,Low,Rare,Fashion,White,High,Yes,30160,No
